HOUR,NS
2135,1166.6
2136,1123.6
2137,1085.9
2138,1073.1
2139,1075.1
2140,1084.2
2141,1116.6
2142,1139.2
2143,1196.6
2144,1282.3
2145,1356
2146,1384.4
2147,1372.4
2148,1332.3
2149,1277.5
2150,1236.1
2151,1210.5
2152,1224.1
2153,1229.9
2154,1214.5
2155,1320.1
2156,1382.7
2157,1379
2158,1334.8
2159,1301.8
2160,1247.03
2161,1223.27
2162,1227.84
2163,1233.87
2164,1234.88
2165,1259.7
2166,1227.24
2167,1279.55
2168,1328.3
2169,1381.87
2170,1399.48
2171,1399.8
2172,1393.65
2173,1369.06
2174,1357.25
2175,1353.63
2176,1335.43
2177,1322.36
2178,1331.94
2179,1328.64
2180,1370.16
2181,1319.87
2182,1252.65
2183,1194.74
2184,1158.36
2185,1156.47
2186,1166.87
2187,1186.68
2188,1219.19
2189,1258.49
2190,1334.78
2191,1414.26
2192,1444.07
2193,1459.21
2194,1411.92
2195,1417.82
2196,1404.89
2197,1379.21
2198,1360.3
2199,1353.42
2200,1370.98
2201,1377.01
2202,1369.67
2203,1404.77
2204,1508.13
2205,1470.54
2206,1377.29
2207,1323.33
2208,1296.25
2209,1358.82
2210,1318.69
2211,1258.17
2212,1271.5
2213,1293.97
2214,1464.16
2215,1525.68
2216,1482.38
2217,1401.89
2218,1344.13
2219,1300.04
2220,1275.17
2221,1238.23
2222,1203.47
2223,1224.22
2224,1236.86
2225,1273.24
2226,1311.79
2227,1373.47
2228,1416.63
2229,1363.66
2230,1333.03
2231,1286.33
2232,1284.06
2233,1262.75
2234,1242.28
2235,1234.63
2236,1250.18
2237,1251.15
2238,1326.21
2239,1448.93
2240,1506.04
2241,1481.09
2242,1460.05
2243,1459.36
2244,1460.14
2245,1435.02
2246,1398.12
2247,1382.48
2248,1384.25
2249,1383.96
2250,1342.18
2251,1337
2252,1334.48
2253,1267.93
2254,1182.75
2255,1092.52
2256,1055.16
2257,998.87
2258,998.51
2259,1058.31
2260,1091.5
2261,1164.33
2262,1306.91
2263,1411.03
2264,1470.63
2265,1489.51
2266,1463.89
2267,1442.94
2268,1448.66
2269,1413.01
2270,1389.9
2271,1320.54
2272,1356.28
2273,1377.07
